url,path,page_type,ymyl_domain,risk,risk_rationale,indexable,author_attribution,named_expert_author,disclaimer_signals,gov_sources_in_sample,expert_review_or_source_need,affiliate_likely,notes
https://www.expatcopilot.com/,/,homepage,trust_or_hub,LOW,Trust/hub page; not primary advice content,yes,organization_only_ExpatCopilot,no,not_legal_advice,0,standard_editorial,maybe,
https://www.expatcopilot.com/about/,/about/,trust_legal,trust_or_hub,LOW,Trust/hub page; not primary advice content,yes,organization_only_ExpatCopilot,no,not_legal_advice|not_financial,0,standard_editorial,maybe,
https://www.expatcopilot.com/affiliate-disclosure/,/affiliate-disclosure/,trust_legal,other,LOW,Not clearly YMYL-primary,yes,organization_only_ExpatCopilot,no,none_detected_in_sample,0,standard_editorial,maybe,
https://www.expatcopilot.com/contact/,/contact/,trust_legal,trust_or_hub,LOW,Trust/hub page; not primary advice content,yes,organization_only_ExpatCopilot,no,not_financial,0,standard_editorial,maybe,
https://www.expatcopilot.com/cookies/,/cookies/,trust_legal,trust_or_hub,LOW,Trust/hub page; not primary advice content,yes,organization_only_ExpatCopilot,no,not_sampled,not_sampled,standard_editorial,maybe,
https://www.expatcopilot.com/disclaimer/,/disclaimer/,trust_legal,trust_or_hub,LOW,Trust/hub page; not primary advice content,yes,organization_only_ExpatCopilot,no,not_legal_advice,0,standard_editorial,maybe,
https://www.expatcopilot.com/editorial-policy/,/editorial-policy/,trust_legal,trust_or_hub,LOW,Trust/hub page; not primary advice content,yes,organization_only_ExpatCopilot,no,not_financial,0,standard_editorial,maybe,
https://www.expatcopilot.com/how-this-site-works/,/how-this-site-works/,trust_legal,other,LOW,Not clearly YMYL-primary,yes,organization_only_ExpatCopilot,no,not_sampled,not_sampled,standard_editorial,maybe,
https://www.expatcopilot.com/how-we-rank-services/,/how-we-rank-services/,trust_legal,other,LOW,Not clearly YMYL-primary,yes,organization_only_ExpatCopilot,no,none_detected_in_sample,0,standard_editorial,maybe,
https://www.expatcopilot.com/methodology/,/methodology/,trust_legal,trust_or_hub,LOW,Trust/hub page; not primary advice content,yes,organization_only_ExpatCopilot,no,none_detected_in_sample,0,standard_editorial,maybe,
https://www.expatcopilot.com/netherlands/,/netherlands/,country_hub,trust_or_hub,LOW,Trust/hub page; not primary advice content,yes,organization_only_ExpatCopilot,no,not_legal_advice,0,standard_editorial,maybe,
https://www.expatcopilot.com/netherlands/after-arriving-netherlands/,/netherlands/after-arriving-netherlands/,moving_guide,relocation_planning,MEDIUM,Relocation planning with admin implications,yes,organization_only_ExpatCopilot,no,not_sampled,not_sampled,strong_official_source_citations_recommended,maybe,
https://www.expatcopilot.com/netherlands/amstelveen/,/netherlands/amstelveen/,city_page,cities_lifestyle,MEDIUM,City hubs include housing/cost/admin orientation,yes,organization_only_ExpatCopilot,no,not_sampled,not_sampled,strong_official_source_citations_recommended,maybe,
https://www.expatcopilot.com/netherlands/amsterdam/,/netherlands/amsterdam/,city_page,cities_lifestyle,MEDIUM,City hubs include housing/cost/admin orientation,yes,organization_only_ExpatCopilot,no,not_sampled,not_sampled,strong_official_source_citations_recommended,maybe,
https://www.expatcopilot.com/netherlands/apostille-documents-netherlands/,/netherlands/apostille-documents-netherlands/,moving_guide,admin_legal,MEDIUM,Administrative/legal obligations,yes,organization_only_ExpatCopilot,no,not_sampled,not_sampled,strong_official_source_citations_recommended,maybe,
https://www.expatcopilot.com/netherlands/arnhem/,/netherlands/arnhem/,city_page,cities_lifestyle,MEDIUM,City hubs include housing/cost/admin orientation,yes,organization_only_ExpatCopilot,no,not_sampled,not_sampled,strong_official_source_citations_recommended,maybe,
