url,page_type,cluster,intent,indexability,technical_health,content_quality,internal_link_strength,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,opportunity,recommended_action,priority,confidence,notes
https://www.expatcopilot.com/dev/phase2-components/,dev,,INTENTIONALLY_NOINDEX,intentionally_noindex,n/a_not_index_target,adequate,n/a,,,,,intentional_noindex,KEEP_HIDDEN,INFO,medium,Intentional noindex/utility
https://www.expatcopilot.com/netherlands/average-rent-netherlands/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/best-housing-websites-netherlands/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/electricity-providers-netherlands/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/expat-housing-agencies-netherlands/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/family/tools/partner-work-eligibility-checker/,tool_calculator,tools_calculators,INTENTIONALLY_NOINDEX,intentionally_noindex,n/a_not_index_target,adequate,n/a,,,,,intentional_noindex,KEEP_HIDDEN,INFO,medium,Intentional noindex/utility
https://www.expatcopilot.com/netherlands/finding-apartment-netherlands/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/furnished-vs-unfurnished-netherlands/,comparison,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/health/tools/dutch-health-insurance-comparison-tool/,tool_calculator,tools_calculators,INTENTIONALLY_NOINDEX,intentionally_noindex,n/a_not_index_target,adequate,n/a,,,,,intentional_noindex,KEEP_HIDDEN,INFO,medium,Intentional noindex/utility
https://www.expatcopilot.com/netherlands/health/tools/insurance-comparison-tool/,tool_calculator,tools_calculators,INTENTIONALLY_NOINDEX,intentionally_noindex,n/a_not_index_target,adequate,n/a,,,,,intentional_noindex,KEEP_HIDDEN,INFO,medium,Intentional noindex/utility
https://www.expatcopilot.com/netherlands/housing-netherlands/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/housing/neighborhoods/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/housing/renting-in-amstelveen/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/housing/renting-in-amsterdam/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/housing/renting-in-delft/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/housing/renting-in-eindhoven/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
https://www.expatcopilot.com/netherlands/housing/renting-in-groningen/,guide,,STAGED_NOT_LAUNCHED,intentionally_staged,n/a_not_index_target,adequate,n/a,,,,,staged_not_live,KEEP_HIDDEN,INFO,medium,Intentional staging — not an SEO failure
