url,cluster,orphan,near_orphan,contextual_inlinks,href_inlinks,navigation_inlinks,sitewide_or_nav_target,explore_block,related_content_listed,crawl_depth_home,crawl_depth_hub,parent_hub,intent,severity,notes
https://www.expatcopilot.com/netherlands/culture/communication-style/,culture_life,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/living/survival-guide/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=3; outlinks_to_404=3; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/culture/hierarchy-and-flatness/,culture_life,no,yes,1,1,0,no,no,no,5,5,https://www.expatcopilot.com/netherlands/living/survival-guide/,INDEXABLE,P2,near-orphan: ≤1 contextual inlink; >3 clicks from cluster hub (depth_hub=5); deep from NL hub (depth_home=5); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=1; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/meetings-and-consensus/
https://www.expatcopilot.com/netherlands/culture/sinterklaas/,culture_life,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/living/survival-guide/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=3; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/culture/time-and-boundaries/,culture_life,no,yes,1,1,0,no,no,no,5,5,https://www.expatcopilot.com/netherlands/living/survival-guide/,INDEXABLE,P2,near-orphan: ≤1 contextual inlink; >3 clicks from cluster hub (depth_hub=5); deep from NL hub (depth_home=5); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=1; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/invitations-and-planning/
https://www.expatcopilot.com/netherlands/culture/what-feels-normal-in-dutch-daily-life/,culture_life,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/living/survival-guide/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=3; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/living/government-portals-overview/,netherlands_other,yes,no,0,0,0,no,no,no,,,,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=3; no_anchor_samples; hub_relationship=weak_or_missing_hub_link
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/argentina/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/australia/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/brazil/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/canada/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/chile/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/denmark/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/france/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/germany/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/india/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/indonesia/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/ireland/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/italy/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/japan/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/kenya/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/mexico/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/new-zealand/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/nigeria/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P0,orphan: no internal inlinks in crawl graph; weak logical hub relationship; URL 404 in production despite sitemap; no_anchor_samples; hub_relationship=weak_or_missing_hub_link
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/norway/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/pakistan/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/philippines/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P0,orphan: no internal inlinks in crawl graph; weak logical hub relationship; URL 404 in production despite sitemap; no_anchor_samples; hub_relationship=weak_or_missing_hub_link
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/singapore/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/south-africa/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/south-korea/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/spain/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/sweden/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/switzerland/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/turkey/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/uae/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-kingdom/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-states/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/argentina/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=7; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/australia/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=7; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/brazil/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=7; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/canada/,moving,yes,no,0,0,0,no,no,no,,,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=7; outlinks_to_404=2; no_anchor_samples; hub_relationship=links_to_parent_hub
