url,path,page_type,cluster,orphan,near_orphan,contextual_inlinks,href_inlinks,intent,residual_reason,notes
"https://www.expatcopilot.com/netherlands/culture/communication-style","/netherlands/culture/communication-style","culture_scaffold","culture_life","no","yes","1","1","INDEXABLE","scaffold_culture_article; hub_linked_after_ia_p1_if_still_listed_recheck_deploy","orphan: no internal inlinks in crawl graph; outlinks_to_redirects=3; outlinks_to_404=3; no_anchor_samples; hub_relationship=links_to_parent_hub; ia_p1_added_contextual_sources=1"
"https://www.expatcopilot.com/netherlands/culture/hierarchy-and-flatness","/netherlands/culture/hierarchy-and-flatness","culture_scaffold","culture_life","no","yes","1","1","INDEXABLE","scaffold_culture_article; hub_linked_after_ia_p1_if_still_listed_recheck_deploy","near-orphan: ≤1 contextual inlink; >3 clicks from cluster hub (depth_hub=5); deep from NL hub (depth_home=5); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=1; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/meetings-and-consensus/"
"https://www.expatcopilot.com/netherlands/culture/sinterklaas","/netherlands/culture/sinterklaas","culture_scaffold","culture_life","no","yes","1","1","INDEXABLE","scaffold_culture_article; hub_linked_after_ia_p1_if_still_listed_recheck_deploy","orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=3; no_anchor_samples; hub_relationship=links_to_parent_hub; ia_p1_added_contextual_sources=1"
"https://www.expatcopilot.com/netherlands/culture/time-and-boundaries","/netherlands/culture/time-and-boundaries","culture_scaffold","culture_life","no","yes","1","1","INDEXABLE","scaffold_culture_article; hub_linked_after_ia_p1_if_still_listed_recheck_deploy","near-orphan: ≤1 contextual inlink; >3 clicks from cluster hub (depth_hub=5); deep from NL hub (depth_home=5); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=1; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/invitations-and-planning/"
"https://www.expatcopilot.com/netherlands/culture/what-feels-normal-in-dutch-daily-life","/netherlands/culture/what-feels-normal-in-dutch-daily-life","culture_scaffold","culture_life","no","yes","1","1","INDEXABLE","scaffold_culture_article; hub_linked_after_ia_p1_if_still_listed_recheck_deploy","orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=3; no_anchor_samples; hub_relationship=links_to_parent_hub; ia_p1_added_contextual_sources=1"
"https://www.expatcopilot.com/netherlands/living/government-portals-overview","/netherlands/living/government-portals-overview","redirect_alias","netherlands_other","yes","no","0","0","INDEXABLE","intentional_redirect_alias; canonical_is_practical-life/government-portals-netherlands","orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=3; no_anchor_samples; hub_relationship=weak_or_missing_hub_link"
"https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/nigeria","/netherlands/moving/tools/arrival-planner/from/nigeria","country_tool_landing_404","moving","yes","no","0","0","INDEXABLE","TECH-P0_404_landing_not_live; do_not_link","orphan: no internal inlinks in crawl graph; weak logical hub relationship; URL 404 in production despite sitemap; no_anchor_samples; hub_relationship=weak_or_missing_hub_link"
"https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/philippines","/netherlands/moving/tools/arrival-planner/from/philippines","country_tool_landing_404","moving","yes","no","0","0","INDEXABLE","TECH-P0_404_landing_not_live; do_not_link","orphan: no internal inlinks in crawl graph; weak logical hub relationship; URL 404 in production despite sitemap; no_anchor_samples; hub_relationship=weak_or_missing_hub_link"
"https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/nigeria","/netherlands/moving/tools/document-readiness/from/nigeria","country_tool_landing_404","moving","yes","no","0","0","INDEXABLE","TECH-P0_404_landing_not_live; do_not_link","orphan: no internal inlinks in crawl graph; weak logical hub relationship; URL 404 in production despite sitemap; no_anchor_samples; hub_relationship=weak_or_missing_hub_link"
"https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/philippines","/netherlands/moving/tools/document-readiness/from/philippines","country_tool_landing_404","moving","yes","no","0","0","INDEXABLE","TECH-P0_404_landing_not_live; do_not_link","orphan: no internal inlinks in crawl graph; weak logical hub relationship; URL 404 in production despite sitemap; no_anchor_samples; hub_relationship=weak_or_missing_hub_link"
"https://www.expatcopilot.com/netherlands/moving/tools/first-90-days/from/nigeria","/netherlands/moving/tools/first-90-days/from/nigeria","country_tool_landing_404","first_90_days","yes","no","0","0","INDEXABLE","TECH-P0_404_landing_not_live; do_not_link","orphan: no internal inlinks in crawl graph; weak logical hub relationship; URL 404 in production despite sitemap; no_anchor_samples; hub_relationship=weak_or_missing_hub_link"
"https://www.expatcopilot.com/netherlands/moving/tools/first-90-days/from/philippines","/netherlands/moving/tools/first-90-days/from/philippines","country_tool_landing_404","first_90_days","yes","no","0","0","INDEXABLE","TECH-P0_404_landing_not_live; do_not_link","orphan: no internal inlinks in crawl graph; weak logical hub relationship; URL 404 in production despite sitemap; no_anchor_samples; hub_relationship=weak_or_missing_hub_link"
"https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/nigeria","/netherlands/moving/tools/moving-checklist/from/nigeria","country_tool_landing_404","moving","yes","no","0","0","INDEXABLE","TECH-P0_404_landing_not_live; do_not_link","orphan: no internal inlinks in crawl graph; weak logical hub relationship; URL 404 in production despite sitemap; no_anchor_samples; hub_relationship=weak_or_missing_hub_link"
"https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/philippines","/netherlands/moving/tools/moving-checklist/from/philippines","country_tool_landing_404","moving","yes","no","0","0","INDEXABLE","TECH-P0_404_landing_not_live; do_not_link","orphan: no internal inlinks in crawl graph; weak logical hub relationship; URL 404 in production despite sitemap; no_anchor_samples; hub_relationship=weak_or_missing_hub_link"
"https://www.expatcopilot.com/netherlands/tools/advanced","/netherlands/tools/advanced","tool_calculator","tools_calculators","no","yes","1","1","INDEXABLE","residual","near-orphan: ≤1 contextual inlink; outlinks_to_redirects=2; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=1; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/tools/"
