"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Depth"	"Is indexable page"	"No. of all inlinks"	"First found at"
"0"	"https://www.expatcopilot.com/netherlands/services/storage-companies"	""	""	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/services/mortgage-advisors"
"0"	"https://www.expatcopilot.com/netherlands/services/phone-providers"	""	""	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.expatcopilot.com/netherlands/services/mobile-connectivity"
"0"	"https://www.expatcopilot.com/netherlands/services/expat-housing-agencies"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/taxes/rent-allowance-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/expat-tax-services"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/taxes/leaving-netherlands-tax"
"0"	"https://www.expatcopilot.com/netherlands/jobs/english-speaking-jobs-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/jobs/finding-jobs-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/career-coaches"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"5"	"https://www.expatcopilot.com/netherlands/jobs/employee-rights-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/pet-relocation-companies"	""	""	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/insurance"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/services/banks"
"0"	"https://www.expatcopilot.com/netherlands/jobs/recruitment-agencies-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/jobs/finding-jobs-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/insurance-brokers"	""	""	"false"	"404"	"0"	"1"	"false"	"5"	"https://www.expatcopilot.com/netherlands/health/health-insurance-comparison-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/jobs/cover-letter-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/jobs/finding-jobs-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/compare-health-insurance"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/taxes/tools/healthcare-allowance-estimator"
"0"	"https://www.expatcopilot.com/netherlands/living/best-supermarkets-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/living/south-african-shops-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/living/weekend-travel-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.expatcopilot.com/netherlands/living/getting-around"
"0"	"https://www.expatcopilot.com/netherlands/living/international-supermarkets-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/services/immigration-visas"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.expatcopilot.com/netherlands/services/immigration-lawyers"
"0"	"https://www.expatcopilot.com/netherlands/living/cheap-groceries-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/living/train-discounts-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.expatcopilot.com/netherlands/living/getting-around"
"0"	"https://www.expatcopilot.com/netherlands/jobs/interview-tips-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"5"	"https://www.expatcopilot.com/netherlands/jobs/dutch-directness-at-work"
"0"	"https://www.expatcopilot.com/netherlands/living/food-delivery-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/jobs/starting-consultancy-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.expatcopilot.com/netherlands/business/starting-a-business-netherlands"
"0"	"https://www.expatcopilot.com/netherlands/services/estate-agents"	""	""	"false"	"404"	"0"	"1"	"false"	"3"	"https://www.expatcopilot.com/netherlands/services/financial-advisors"
"0"	"https://www.expatcopilot.com/netherlands/living/restaurants-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.expatcopilot.com/netherlands/living/shopping-groceries"
"0"	"https://www.expatcopilot.com/netherlands/services/energy-providers"	""	""	"false"	"404"	"0"	"1"	"false"	"4"	"https://www.expatcopilot.com/netherlands/services/mobile-connectivity"
"0"	"https://www.expatcopilot.com/netherlands/living/regional-buses-netherlands"	""	""	"false"	"404"	"0"	"1"	"false"	"3"	"https://www.expatcopilot.com/netherlands/living/getting-around"
