path,first_status,location,edge_count,known
/netherlands/moving/tools/moving-checklist,200,,1539,True
/netherlands/moving-to-the-netherlands,200,,1335,True
/netherlands/cities,200,,1124,True
/netherlands,200,,1097,True
/contact,200,,909,True
/netherlands/services,200,,725,True
/netherlands/living/survival-guide,200,,631,True
/netherlands/living/getting-around,200,,629,True
/netherlands/tools,200,,596,True
/editorial-policy,200,,591,True
/netherlands/taxes,200,,584,True
/how-we-rank-services,200,,580,True
/affiliate-disclosure,200,,579,True
/netherlands/housing,200,,548,True
/netherlands/living/healthcare-basics,200,,539,True
/netherlands/living/culture-etiquette,308,/netherlands/life/dutch-etiquette,492,False
/netherlands/jobs/finding-jobs-netherlands,200,,492,True
/netherlands/utilities/utilities-netherlands,200,,490,True
/methodology,200,,482,True
/sources,200,,470,True
/how-this-site-works,200,,460,True
/netherlands/life,200,,457,True
/disclaimer,200,,456,True
/netherlands/official-figures,200,,454,True
/about,200,,453,True
/privacy,200,,452,True
/terms,200,,451,True
/cookies,200,,450,True
/netherlands/government-services,200,,449,True
/sitemap,200,,446,True
/netherlands/moving/tools/first-90-days,200,,383,True
/netherlands/after-arriving-netherlands,200,,377,True
/netherlands/open-bank-account-netherlands,200,,366,True
/netherlands/health-insurance-netherlands,200,,346,True
/netherlands/municipality-registration-netherlands,200,,336,True
/netherlands/taxes/tools/dutch-salary-net-calculator,200,,332,True
/netherlands/moving/tools/relocation-cost-estimator,200,,274,True
/netherlands/money/tools/cost-of-living-calculator,200,,236,True
/netherlands/moving/tools/arrival-planner,200,,233,True
/,307,,209,True
/netherlands/documents-needed-to-move-netherlands,308,/netherlands/document-readiness-checker,203,False
/netherlands/tools/city-comparison,200,,203,True
/about/affiliate-disclosure,200,,193,False
/netherlands/document-readiness-checker,200,,188,True
/netherlands/visa-checker,200,,185,True
/netherlands/first-90-days-netherlands,200,,184,True
/netherlands/services/immigration-lawyers,200,,178,True
/netherlands/document-translation-netherlands,200,,169,True
/netherlands/amsterdam,200,,167,True
/netherlands/taxes/tools/30-ruling-calculator,200,,162,True
/netherlands/utrecht,200,,151,True
/netherlands/moving/visas-residency,200,,150,True
/netherlands/services/housing-platforms,200,,149,True
/netherlands/visa-cost-calculator,200,,147,True
/netherlands/money/banking/best-banks-expats,200,,146,True
/netherlands/rotterdam,200,,145,True
/netherlands/services/visa-consultants,200,,144,True
/netherlands/the-hague,200,,143,True
/netherlands/eindhoven,200,,143,True
/netherlands/taxes/30-percent-ruling,200,,142,True
/netherlands/work/tools/payslip-decoder,200,,141,True
/netherlands/moving/working-in-the-netherlands,200,,140,True
/netherlands/money/how-taxes-work-in-the-netherlands,200,,138,True
/netherlands/moving/tools/document-readiness,308,/netherlands/document-readiness-checker,134,False
/netherlands/visa/partner-family-visa,200,,133,True
/netherlands/taxes/expat-taxes-netherlands,308,/netherlands/money/expat-taxes-netherlands,131,False
/netherlands/housing/tools/rent-affordability-calculator,200,,130,True
/netherlands/bsn-registration,200,,130,True
/netherlands/visa/highly-skilled-migrant,200,,127,True
/netherlands/services/relocation-services,200,,125,True
/netherlands/money/banking/fees,200,,123,True
/netherlands/money/tax-return-netherlands,200,,113,True
/netherlands/taxes/tools/double-tax-awareness-tool,200,,111,True
/netherlands/money/tax-residency-netherlands,200,,111,True
/netherlands/family/tools/childcare-cost-estimator,200,,110,True
/netherlands/money/tax-guide-for-expats,200,,108,True
/netherlands/moving-to-netherlands-cost,200,,107,True
/netherlands/moving/residence-permits,200,,103,True
/netherlands/apostille-documents-netherlands,200,,103,True
/netherlands/first-30-days-netherlands,200,,103,True
/netherlands/document-legalization-netherlands,200,,101,True
/netherlands/visa/student-visa,200,,97,True
/netherlands/services/relocation-agencies,200,,93,True
/netherlands/haarlem,200,,93,True
/netherlands/visa/self-employed-visa,200,,91,True
/netherlands/money/banking/how-payments-work,200,,90,True
/netherlands/taxes/gross-vs-net-salary,200,,90,True
/netherlands/leiden,200,,86,True
/netherlands/services/rental-agencies,200,,86,True
/netherlands/money/banking,200,,85,True
/netherlands/living/daily-life,200,,83,True
/netherlands/services/banks,200,,82,True
/netherlands/taxes/tools/healthcare-allowance-estimator,200,,82,True
/netherlands/work/tools/job-offer-comparison,200,,81,True
/netherlands/groningen,200,,78,True
/netherlands/moving/extensions-changes,200,,78,True
/netherlands/services/health-insurance,200,,78,True
/netherlands/tools/bank-comparison,200,,77,True
/netherlands/living/apps,200,,76,True
/netherlands/delft,200,,76,True
/netherlands/visa/eu-blue-card,200,,74,True
/netherlands/taxes/net-salary-netherlands,200,,73,True
/netherlands/visa/compare-visas,200,,71,True
/netherlands/services/tax-advisors,200,,70,True
/netherlands/money/expat-taxes-netherlands,200,,68,True
/netherlands/family/healthcare-for-children-netherlands,200,,68,True
/netherlands/cities/best-cities-for-expats,200,,66,True
/netherlands/money/banking/traditional-vs-digital,200,,65,True
/netherlands/money/cost-of-living-netherlands,200,,63,True
/netherlands/cities/best-cities-for-families,200,,63,True
