url,path,unique_linking_pages,outlinks,orphan_status,is_country_tool
https://www.expatcopilot.com/netherlands/culture/communication-style,/netherlands/culture/communication-style,0,38,ORPHAN,NO
https://www.expatcopilot.com/netherlands/culture/dutch-language-basics,/netherlands/culture/dutch-language-basics,2,36,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/culture/dutch-social-calendar,/netherlands/culture/dutch-social-calendar,2,37,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/culture/hierarchy-and-flatness,/netherlands/culture/hierarchy-and-flatness,1,38,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/culture/invitations-and-planning,/netherlands/culture/invitations-and-planning,2,38,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/culture/kings-day,/netherlands/culture/kings-day,2,38,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/culture/sinterklaas,/netherlands/culture/sinterklaas,0,38,ORPHAN,NO
https://www.expatcopilot.com/netherlands/culture/time-and-boundaries,/netherlands/culture/time-and-boundaries,1,38,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/culture/what-feels-normal-in-dutch-daily-life,/netherlands/culture/what-feels-normal-in-dutch-daily-life,0,38,ORPHAN,NO
https://www.expatcopilot.com/netherlands/culture/written-follow-ups,/netherlands/culture/written-follow-ups,2,38,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/family/pets-netherlands,/netherlands/family/pets-netherlands,2,44,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/living/government-portals-overview,/netherlands/living/government-portals-overview,0,36,ORPHAN,NO
https://www.expatcopilot.com/netherlands/money/financial-checklist-netherlands,/netherlands/money/financial-checklist-netherlands,2,44,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/moving-mistakes-netherlands,/netherlands/moving-mistakes-netherlands,2,42,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/nigeria,/netherlands/moving/moving-to-netherlands-from/nigeria,2,72,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/philippines,/netherlands/moving/moving-to-netherlands-from/philippines,2,73,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/practical-life/privacy-and-safety-basics-netherlands,/netherlands/practical-life/privacy-and-safety-basics-netherlands,1,44,NEAR_ORPHAN,NO
https://www.expatcopilot.com/netherlands/tools/advanced,/netherlands/tools/advanced,1,47,NEAR_ORPHAN,NO
