url,path,http_status,inlinks,first_found_at,class,action,notes
https://www.expatcopilot.com/netherlands/services/storage-companies,/netherlands/services/storage-companies,404,2,https://www.expatcopilot.com/netherlands/services/mortgage-advisors,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/services/phone-providers,/netherlands/services/phone-providers,404,4,https://www.expatcopilot.com/netherlands/services/mobile-connectivity,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/services/expat-housing-agencies,/netherlands/services/expat-housing-agencies,404,1,https://www.expatcopilot.com/netherlands/taxes/rent-allowance-netherlands,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/services/expat-tax-services,/netherlands/services/expat-tax-services,404,2,https://www.expatcopilot.com/netherlands/taxes/leaving-netherlands-tax,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/jobs/english-speaking-jobs-netherlands,/netherlands/jobs/english-speaking-jobs-netherlands,404,2,https://www.expatcopilot.com/netherlands/jobs/finding-jobs-netherlands,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/services/career-coaches,/netherlands/services/career-coaches,404,5,https://www.expatcopilot.com/netherlands/jobs/employee-rights-netherlands,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/services/pet-relocation-companies,/netherlands/services/pet-relocation-companies,404,2,https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/services/insurance,/netherlands/services/insurance,404,2,https://www.expatcopilot.com/netherlands/services/banks,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/jobs/recruitment-agencies-netherlands,/netherlands/jobs/recruitment-agencies-netherlands,404,2,https://www.expatcopilot.com/netherlands/jobs/finding-jobs-netherlands,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/services/insurance-brokers,/netherlands/services/insurance-brokers,404,5,https://www.expatcopilot.com/netherlands/health/health-insurance-comparison-netherlands,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/jobs/cover-letter-netherlands,/netherlands/jobs/cover-letter-netherlands,404,2,https://www.expatcopilot.com/netherlands/jobs/finding-jobs-netherlands,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/services/compare-health-insurance,/netherlands/services/compare-health-insurance,404,1,https://www.expatcopilot.com/netherlands/taxes/tools/healthcare-allowance-estimator,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
https://www.expatcopilot.com/netherlands/living/best-supermarkets-netherlands,/netherlands/living/best-supermarkets-netherlands,404,1,https://www.expatcopilot.com/netherlands/living/shopping-groceries,STAGED_PAGE_LINK,REMOVE_OR_FILTER_INTERNAL_HREF_UNTIL_LAUNCH,scheduledGuides future publishDate; do not create thin page
